Time,Open,High,Low,Close,Volume,Count,Wap
20120820,81.89,81.89,80.99,81.59,85446,12460,81.448
20120821,81.75,82.7,81.2,81.39,81025,18280,81.907
20120822,81.2,81.5,80.8,81.12,53339,11234,81.162
20120823,81.61,81.61,80.2,80.49,90148,11043,80.606
20120824,80.31,81.06,80.12,80.81,45578,10015,80.709
20120827,81.21,81.46,80.58,80.94,49200,9114,80.979
20120828,81.14,81.5,80.76,81.47,74185,10580,81.258
20120829,81.36,81.96,81.15,81.48,64371,11024,81.594
20120830,81.36,81.36,80.5,80.61,54871,10189,80.916
20120831,80.72,81.72,80.34,81.16,83605,14663,81.067
20120904,81.5,82.4,80.56,82.13,121874,20507,81.744
20120905,82.19,82.51,81.85,82.23,59024,12845,82.131
20120906,82.67,83.94,82.38,83.73,103207,18112,83.39
20120907,83.95,84.4,83.21,84.26,67753,17494,84.127
20120910,84.16,84.45,83.58,83.79,63190,14252,84.043
20120911,83.92,84.55,83.83,84.07,53637,9688,84.147
20120912,84.4,84.7,83.9,84.69,71525,11421,84.353
20120913,84.55,86.15,84.19,85.7,129101,20533,85.279
20120914,86.1,86.96,85.75,86.42,90685,17004,86.512
20120917,86.2,86.22,85.57,86.02,40274,8114,85.889
20120918,85.75,85.91,85.37,85.85,51331,9788,85.659
20120919,85.76,86.03,85.4,85.5,47799,8968,85.709
20120920,85.05,85.44,84.62,85.4,89696,11159,85.121
20120921,85.5,86.08,85.47,85.54,77983,12724,85.786
20120924,85.29,85.43,84.61,84.99,96763,14747,84.952
20120925,85.15,85.55,83.58,83.83,229530,20558,84.129
20120926,83.97,83.99,82.84,83.12,86166,17321,83.256
20120927,83.32,84.34,83.07,84.13,79390,13031,83.821
20120928,83.8,83.99,83.26,83.51,92846,14952,83.606
20121001,83.83,84.54,83.32,83.75,65037,13381,83.903
20121002,84.29,84.29,83.37,83.67,55971,12893,83.701
20121003,83.75,84.22,83.17,83.75,61062,13331,83.692
20121004,83.8,84.34,83.2,84.22,79903,15882,83.86
20121005,84.2,85.24,83.84,83.91,66149,13229,84.533
20121008,83.6,83.89,83.39,83.64,33567,8213,83.627
20121009,83.58,83.9,82.45,82.49,67912,15651,82.875
20121010,82.53,82.83,82.19,82.28,55642,13936,82.466
20121011,82.8,83.5,82.6,82.87,61618,11393,82.99
20121012,82.94,83.09,81.91,82.07,63497,10461,82.267
20121015,82.37,82.79,81.76,82.79,57108,16268,82.338
20121016,82.8,83.44,82.8,83.42,49849,13307,83.175
20121017,83.3,84.18,83.25,84.15,55411,13551,83.851
20121018,83.96,84.14,83.2,83.31,50740,14653,83.687
20121019,83.24,83.24,81.47,81.57,93521,18362,82.099
20121022,81.89,82.55,81.35,82.25,44064,10502,81.688
20121023,81.45,81.54,80.43,81.52,58863,14578,81
20121024,81.47,81.88,80.91,81.34,41009,10287,81.27
20121025,81.82,82.13,80.87,81.38,47286,10866,81.406
20121026,81,81.9,80.47,81.18,65911,15473,81.113
20121031,81.45,81.65,80.89,81.37,47400,10259,81.271
20121101,81.43,82.71,81.43,82.39,77097,14953,82.359
20121102,82.52,82.98,80.96,81.05,57552,12753,81.759
20121105,80.98,81.83,80.92,81.7,45112,10559,81.585
20121106,81.95,82.57,81.88,82.23,51160,10186,82.317
20121107,82.5,82.5,79.91,80.25,97468,19938,80.553
20121108,80.25,80.5,79.06,79.24,71780,15223,79.693
20121109,79.17,79.97,78.53,79.35,63255,14228,79.351
20121112,79.55,79.7,79.03,79.17,45478,7292,79.301
20121113,78.82,79.55,78.59,78.98,58760,13103,79.026
